name,item_kind,serving_g,kcal_100g,protein_100g,carbs_100g,fat_100g,fiber_100g,sugar_100g,sodium_100g,role,cuisine,diet_tags,usda_description,image_url
Raspberries,component,120,52.0,1.2,11.9,0.6,6.5,4.4,1.0,fruit,intl,"balanced,wl,diab","raspberries, raw",https://live.staticflickr.com/3525/3871568640_93978cb050.jpg
Strawberries,component,120,32.0,0.7,7.7,0.3,2.0,4.9,1.0,fruit,intl,"balanced,wl,keto,diab","strawberries, raw",https://live.staticflickr.com/3603/3453868071_4b82dc96db_b.jpg
Tangerine,component,120,53.0,0.8,13.3,0.3,1.8,10.6,2.0,fruit,intl,"balanced,wl","tangerines, (mandarin oranges), raw",https://live.staticflickr.com/8710/28674721105_92f4dfa18e_b.jpg
Watermelon,component,120,30.0,0.6,7.6,0.2,0.4,6.2,1.0,fruit,intl,"balanced,wl,keto","watermelon, raw",https://live.staticflickr.com/212/503533058_41ff8ed781_b.jpg
Adzuki Beans,component,150,128.0,7.5,24.8,0.1,7.3,0.0,244.0,main,intl,"balanced,wl,diab","beans, adzuki, mature seed, cooked, boiled, with salt",https://live.staticflickr.com/7061/7009495413_73a4246f33_b.jpg
Beef Brisket,component,150,244.0,28.0,0.0,13.8,0.0,0.0,77.0,main,intl,"balanced,hp,wl,wg,keto,diab","beef, brisket, point half, separable lean only, trimmed to 0"" fat, all grades, cooked, braised",https://live.staticflickr.com/7300/9194994779_b91ec742e3_b.jpg
Beef Flank Steak,component,150,192.0,27.7,0.0,8.2,0.0,0.0,56.0,main,intl,"balanced,hp,wl,wg,keto,diab","beef, flank, steak, separable lean and fat, trimmed to 0"" fat, all grades, cooked, broiled",https://live.staticflickr.com/2283/2300447031_63d12cbbb9_b.jpg
Beef Liver,component,150,191.0,29.1,5.1,5.3,0.0,0.0,79.0,main,intl,"balanced,hp,wl,wg,keto,diab","beef, variety meats and by-products, liver, cooked, braised",https://live.staticflickr.com/163/390415138_a3cc499230_b.jpg
Beef Ribeye,component,150,249.0,27.3,0.0,14.7,0.0,0.0,56.0,main,intl,"balanced,hp,wl,wg,keto,diab","beef, rib eye, small end (ribs 10-12), separable lean and fat, trimmed to 0"" fat, all grades, cooked, broiled",https://live.staticflickr.com/3381/3630096251_537afb5675_b.jpg
Beef Round Roast,component,150,181.0,26.6,0.0,7.5,0.0,0.0,35.0,main,intl,"balanced,hp,wl,wg,keto,diab","beef, round, tip round, roast, separable lean and fat, trimmed to 0"" fat, select, cooked, roasted",https://live.staticflickr.com/2042/3591582015_a40fda8ee5_b.jpg
Beef Short Ribs,component,150,287.0,25.8,0.0,20.4,0.0,0.0,71.0,main,intl,"balanced,hp,wg,keto,diab","beef, chuck, short ribs, boneless, separable lean and fat, trimmed to 0"" fat, select, cooked, braised",https://live.staticflickr.com/2252/1701004030_214cf21f83_b.jpg
Beef Sirloin Steak,component,150,206.0,29.6,0.0,8.8,0.0,0.0,63.0,main,intl,"balanced,hp,wl,wg,keto,diab","beef, top sirloin, steak, separable lean and fat, trimmed to 0"" fat, select, cooked, broiled",https://live.staticflickr.com/3498/3899677545_35301a3074_b.jpg
Beef Stew Meat (Chuck),component,150,230.0,17.4,0.0,17.3,0.0,0.0,69.0,main,intl,"balanced,hp,wl,wg,keto,diab","beef, chuck, blade roast, separable lean and fat, trimmed to 1/8"" fat, select, raw",https://live.staticflickr.com/104/367521922_e7a15fec1a_b.jpg
Beef Tenderloin,component,150,237.0,18.9,0.6,17.7,0.0,0.0,62.0,main,intl,"balanced,hp,wl,wg,keto,diab","beef, australian, imported, wagyu, loin, tenderloin steak/roast, boneless, separable lean only, aust. marble score 9, raw",https://live.staticflickr.com/2448/3646892644_e610ff8f71_b.jpg
Black Beans,component,150,130.0,8.2,24.4,0.4,8.3,0.3,239.0,main,intl,"balanced,wl,diab","beans, black turtle, mature seeds, cooked, boiled, with salt",https://live.staticflickr.com/7114/6982554346_f32906b301_b.jpg
Black-Eyed Peas,component,150,116.0,7.7,20.8,0.5,6.5,3.3,240.0,main,intl,"balanced,wl,diab","cowpeas, common (blackeyes, crowder, southern), mature seeds, cooked, boiled, with salt",https://upload.wikimedia.org/wikipedia/commons/2/21/Les_Black_Eyed_Peas_en_concert_au_VIP_Room_Paris_3.jpg
Catfish,component,150,105.0,18.5,0.0,2.8,0.0,0.0,50.0,main,intl,"balanced,hp,wl,keto,diab","fish, catfish, channel, wild, cooked, dry heat",https://live.staticflickr.com/43/82909843_cb58198e7f_b.jpg
Chicken Breast,component,150,165.0,31.0,0.0,3.6,0.0,0.0,74.0,main,intl,"balanced,hp,wl,wg,keto,diab","chicken, broilers or fryers, breast, meat only, cooked, roasted",https://live.staticflickr.com/6050/6220809890_bc9c275f56_b.jpg
Chicken Drumstick,component,150,169.0,27.5,0.0,5.7,0.0,0.0,80.0,main,intl,"balanced,hp,wl,wg,keto,diab","chicken, broilers or fryers, drumstick, meat only, cooked, stewed",https://live.staticflickr.com/4014/4255397521_34b4b00827_b.jpg
Chicken Liver,component,150,167.0,24.5,0.9,6.5,0.0,0.0,76.0,main,intl,"balanced,hp,wl,wg,keto,diab","chicken, liver, all classes, cooked, simmered",https://live.staticflickr.com/3159/2695728954_793905a4ef_b.jpg
Chicken Thigh,component,150,214.0,23.5,0.1,13.8,0.0,0.0,174.0,main,intl,"balanced,hp,wl,wg,keto,diab","chicken, dark meat, thigh, meat and skin, with added solution, cooked, roasted",https://live.staticflickr.com/3380/3578075458_3a73986284_b.jpg
Chicken Wing,component,150,203.0,30.5,0.0,8.1,0.0,0.0,92.0,main,intl,"balanced,hp,wl,wg,keto,diab","chicken, broilers or fryers, wing, meat only, cooked, roasted",https://live.staticflickr.com/6084/6084035728_0791b14472_b.jpg
Chickpeas,component,150,164.0,8.9,27.4,2.6,7.6,4.8,243.0,main,intl,"balanced,wl,wg,diab","chickpeas (garbanzo beans, bengal gram), mature seeds, cooked, boiled, with salt",https://live.staticflickr.com/1008/1222354710_c724244412_b.jpg
Clams,component,150,148.0,25.6,5.1,2.0,0.0,0.0,1202.0,main,intl,"balanced,hp,wl,keto,diab","mollusks, clam, mixed species, cooked, moist heat",https://live.staticflickr.com/2062/2461258704_03d5d227ef_b.jpg
Cod,component,150,105.0,22.8,0.0,0.9,0.0,0.0,78.0,main,intl,"balanced,hp,wl,keto,diab","fish, cod, atlantic, cooked, dry heat",https://live.staticflickr.com/65535/52421179573_773f8f5492_b.jpg
Corned Beef,component,150,153.0,22.9,0.0,6.1,0.0,0.0,953.0,main,intl,"balanced,hp,wl,wg,keto,diab","corned beef loaf, jellied",https://live.staticflickr.com/8517/8559422255_ddf297e525_b.jpg
Cornish Hen,component,150,200.0,17.2,0.0,14.0,0.0,0.0,61.0,main,intl,"balanced,hp,wl,wg,keto,diab","chicken, cornish game hens, meat and skin, raw",https://live.staticflickr.com/2771/4103626147_62ea430ce6_b.jpg
Cottage Cheese,component,150,95.0,10.9,3.0,4.2,0.1,0.4,403.0,main,intl,"balanced,wl,keto,diab","cheese, cottage, with vegetables",https://live.staticflickr.com/2188/1517531815_d2551acc04_b.jpg
Crab,component,150,90.0,18.5,0.0,1.2,0.0,0.0,539.0,main,intl,"balanced,hp,wl,keto,diab","crustaceans, crab, queen, raw",https://live.staticflickr.com/7185/13923667531_9e0c3b52e2_b.jpg
Cranberry Beans,component,150,136.0,9.3,24.5,0.5,8.6,0.0,237.0,main,intl,"balanced,wl,diab","beans, cranberry (roman), mature seeds, cooked, boiled, with salt",https://live.staticflickr.com/5085/5356517406_b7a8e29661_b.jpg
Duck,component,150,201.0,23.5,0.0,11.2,0.0,0.0,65.0,main,intl,"balanced,hp,wl,wg,keto,diab","duck, domesticated, meat only, cooked, roasted",https://live.staticflickr.com/4874/45185407075_a1e845243f_b.jpg
Edamame (Soybeans),component,150,121.0,11.9,8.9,5.2,5.2,2.2,6.0,main,intl,"balanced,wl,keto,diab","edamame, frozen, prepared",https://live.staticflickr.com/2831/11993914355_80dd12dc8f_b.jpg
Egg White,component,150,55.0,10.7,2.4,0.0,0.0,0.0,0.0,main,intl,"balanced,wl,keto,diab","eggs, grade a, large, egg white",https://live.staticflickr.com/3138/2705561380_68b6bf0e61_b.jpg
Fava Beans (Ful),component,150,110.0,7.6,19.6,0.4,5.4,1.8,241.0,main,egyptian,"balanced,wl,diab","broadbeans (fava beans), mature seeds, cooked, boiled, with salt",https://upload.wikimedia.org/wikipedia/commons/8/85/Fava_Beans_Ful_and_Sambusas.jpg
Greek Yogurt,component,150,59.0,10.2,3.6,0.4,0.0,3.2,36.0,main,intl,"balanced,wl,keto,diab","yogurt, greek, plain, nonfat (includes foods for usda's food distribution program)",https://live.staticflickr.com/8308/7817577320_11e3276af0.jpg
Ground Beef,component,150,250.0,25.9,0.0,15.4,0.0,0.0,72.0,main,intl,"balanced,hp,wl,wg,keto,diab","beef, ground, 85% lean meat / 15% fat, patty, cooked, broiled",https://live.staticflickr.com/3932/15440562729_7eec8e02bc_b.jpg
Ground Chicken,component,150,143.0,17.4,0.0,8.1,0.0,0.0,60.0,main,intl,"balanced,hp,wl,keto,diab","chicken, ground, raw",https://live.staticflickr.com/3577/3305809294_70d2524f8f_b.jpg
Ground Lamb,component,150,283.0,24.8,0.0,19.6,0.0,0.0,81.0,main,intl,"balanced,hp,wg,keto,diab","lamb, ground, cooked, broiled",https://live.staticflickr.com/7253/7586278318_bb1187fd27.jpg
Ground Turkey,component,150,203.0,27.4,0.0,10.4,0.0,0.0,78.0,main,intl,"balanced,hp,wl,wg,keto,diab","turkey, ground, cooked",https://live.staticflickr.com/4116/4889340807_e782ae4e25_b.jpg
Grouper,component,150,118.0,24.8,0.0,1.3,0.0,0.0,53.0,main,intl,"balanced,hp,wl,keto,diab","fish, grouper, mixed species, cooked, dry heat",https://live.staticflickr.com/8237/8489715858_26a1a9c5d9_b.jpg
Haddock,component,150,90.0,20.0,0.0,0.6,0.0,0.0,261.0,main,intl,"balanced,hp,wl,keto,diab","fish, haddock, cooked, dry heat",https://live.staticflickr.com/3132/2832649219_78cc75fbf3_b.jpg
Halibut,component,150,111.0,22.5,0.0,1.6,0.0,0.0,82.0,main,intl,"balanced,hp,wl,keto,diab","fish, halibut, atlantic and pacific, cooked, dry heat",https://live.staticflickr.com/975/41651418672_5dd29619c3_b.jpg
Hard-Boiled Egg,component,150,155.0,12.6,1.1,10.6,0.0,1.1,124.0,main,intl,"balanced,wl,wg,keto,diab","egg, whole, cooked, hard-boiled",https://live.staticflickr.com/3125/2783967185_c9ec0ac4bf_b.jpg
Herring,component,150,217.0,24.6,0.0,12.4,0.0,0.0,918.0,main,intl,"balanced,hp,wl,wg,keto,diab","fish, herring, atlantic, kippered",https://live.staticflickr.com/6169/6245055011_b34ac3740a_b.jpg
Kidney Beans,component,150,127.0,8.7,22.8,0.5,7.4,0.3,238.0,main,intl,"balanced,wl,diab","beans, kidney, red, mature seeds, cooked, boiled, with salt",https://upload.wikimedia.org/wikipedia/commons/8/8b/Kidney_beans.jpg
Lamb Leg,component,150,191.0,28.3,0.0,7.7,0.0,0.0,68.0,main,intl,"balanced,hp,wl,wg,keto,diab","lamb, leg, whole (shank and sirloin), separable lean only, trimmed to 1/4"" fat, choice, cooked, roasted",https://live.staticflickr.com/7875/32708065298_661815dc6a_b.jpg
Lamb Loin Chop,component,150,202.0,26.6,0.0,9.8,0.0,0.0,66.0,main,intl,"balanced,hp,wl,wg,keto,diab","lamb, loin, separable lean only, trimmed to 1/4"" fat, choice, cooked, roasted",https://live.staticflickr.com/1225/1237597945_e94180e33c_b.jpg
Lamb Shoulder,component,150,233.0,26.2,0.0,13.4,0.0,0.0,91.0,main,intl,"balanced,hp,wl,wg,keto,diab","lamb, australian, imported, fresh, shoulder, whole (arm and blade), separable lean only, trimmed to 1/8"" fat, cooked",https://live.staticflickr.com/3597/3697198543_7be1180b72_b.jpg
Lentils,component,150,116.0,9.0,20.1,0.4,7.9,1.8,2.0,main,intl,"balanced,wl,diab","lentils, mature seeds, cooked, boiled, without salt",https://live.staticflickr.com/26/102791309_e99b16ee6e.jpg
Lima Beans,component,150,115.0,7.8,20.9,0.4,7.0,2.9,238.0,main,intl,"balanced,wl,diab","lima beans, large, mature seeds, cooked, boiled, with salt",https://live.staticflickr.com/8182/8009669744_6a6b34cdb0_b.jpg
Mackerel,component,150,205.0,18.6,0.0,13.9,0.0,0.0,90.0,main,intl,"balanced,hp,wl,wg,keto,diab","fish, mackerel, atlantic, raw",https://live.staticflickr.com/213/464311819_846591829f_b.jpg
Mahi Mahi,component,150,109.0,23.7,0.0,0.9,0.0,0.0,113.0,main,intl,"balanced,hp,wl,keto,diab","fish, mahimahi, cooked, dry heat",https://live.staticflickr.com/3008/2917262898_43bef8b794.jpg
Mullet (Bouri),component,150,150.0,24.8,0.0,4.9,0.0,0.0,71.0,main,egyptian,"balanced,hp,wl,wg,keto,diab","fish, mullet, striped, cooked, dry heat",https://inaturalist-open-data.s3.amazonaws.com/photos/410364781/original.jpeg
Mung Beans,component,150,105.0,7.0,19.2,0.4,7.6,2.0,238.0,main,intl,"balanced,wl,diab","mung beans, mature seeds, cooked, boiled, with salt",https://live.staticflickr.com/5529/10476005835_d3a4d4901d_b.jpg
Mussels,component,150,172.0,23.8,7.4,4.5,0.0,0.0,369.0,main,intl,"balanced,hp,wl,wg,keto,diab","mollusks, mussel, blue, cooked, moist heat",https://live.staticflickr.com/3841/33359471280_05aaaf574a_b.jpg
Octopus,component,150,164.0,29.8,4.4,2.1,0.0,0.0,460.0,main,intl,"balanced,hp,wl,wg,keto,diab","mollusks, octopus, common, cooked, moist heat",https://live.staticflickr.com/7004/6553841929_58a7439d9a_b.jpg
Oysters,component,150,81.0,9.4,5.0,2.3,0.0,0.0,106.0,main,intl,"balanced,wl,keto,diab","mollusks, oyster, pacific, raw",https://live.staticflickr.com/101/313854298_98f9c02ba1.jpg
Perch,component,150,117.0,24.9,0.0,1.2,0.0,0.0,79.0,main,intl,"balanced,hp,wl,keto,diab","fish, perch, mixed species, cooked, dry heat",https://live.staticflickr.com/6142/5952503156_ec325817af_b.jpg
Pinto Beans,component,150,143.0,9.0,26.2,0.6,9.0,0.3,238.0,main,intl,"balanced,wl,diab","beans, pinto, mature seeds, cooked, boiled, with salt",https://live.staticflickr.com/7392/16254446997_1a6b281d0b_b.jpg
Pollock,component,150,118.0,24.9,0.0,1.3,0.0,0.0,110.0,main,intl,"balanced,hp,wl,keto,diab","fish, pollock, atlantic, cooked, dry heat",https://live.staticflickr.com/89/210401031_b9ee2b81f7_b.jpg
Quail,component,150,227.0,25.1,0.0,14.1,0.0,0.0,52.0,main,intl,"balanced,hp,wl,wg,keto,diab","quail, cooked, total edible",https://live.staticflickr.com/2046/2462987456_c9d17a5539_b.jpg
Salmon,component,150,206.0,22.1,0.0,12.4,0.0,0.0,61.0,main,intl,"balanced,hp,wl,wg,keto,diab","fish, salmon, atlantic, farmed, cooked, dry heat",https://live.staticflickr.com/191/497293505_5b8490998d_b.jpg
Sardines,component,150,185.0,20.9,0.5,10.4,0.1,0.4,414.0,main,intl,"balanced,hp,wl,wg,keto,diab","fish, sardine, pacific, canned in tomato sauce, drained solids with bone",https://live.staticflickr.com/3600/3444731119_0178971ebf_b.jpg
Scallops,component,150,111.0,20.5,5.4,0.8,0.0,0.0,667.0,main,intl,"balanced,hp,wl,keto,diab","mollusks, scallop, (bay and sea), cooked, steamed",https://live.staticflickr.com/3191/2602082554_73b3008cc1_b.jpg
Sea Bass,component,150,124.0,22.7,0.0,3.0,0.0,0.0,88.0,main,intl,"balanced,hp,wl,keto,diab","fish, bass, striped, cooked, dry heat",https://live.staticflickr.com/2826/9861162014_49f7c1fbfd_b.jpg
Shrimp,component,150,99.0,24.0,0.2,0.3,0.0,0.0,111.0,main,intl,"balanced,hp,wl,keto,diab","crustaceans, shrimp, cooked",https://live.staticflickr.com/3762/13670027443_71096e6686_b.jpg
Snapper,component,150,128.0,26.3,0.0,1.7,0.0,0.0,57.0,main,intl,"balanced,hp,wl,keto,diab","fish, snapper, mixed species, cooked, dry heat",https://live.staticflickr.com/4071/4464429608_15201c397d_b.jpg
Sole / Flounder,component,150,86.0,15.2,0.0,2.4,0.0,0.0,363.0,main,intl,"balanced,hp,wl,keto,diab","fish, flatfish (flounder and sole species), cooked, dry heat",https://live.staticflickr.com/5215/5383315187_76a48e829d_b.jpg
Soybeans,component,150,172.0,18.2,8.4,9.0,6.0,3.0,1.0,main,intl,"balanced,hp,wl,wg,keto,diab","soybeans, mature cooked, boiled, without salt",https://live.staticflickr.com/7294/9621088575_36ec21fc34_b.jpg
Split Peas,component,150,116.0,8.3,20.5,0.4,8.3,2.9,238.0,main,intl,"balanced,wl,diab","peas, split, mature seeds, cooked, boiled, with salt",https://live.staticflickr.com/4113/5195943086_81a2ea2d11_b.jpg
Squid (Calamari),component,150,92.0,15.6,3.1,1.4,0.0,0.0,44.0,main,intl,"balanced,hp,wl,keto,diab","mollusks, squid, mixed species, raw",https://live.staticflickr.com/2104/2493556325_89e67802c5.jpg
Swordfish,component,150,172.0,23.4,0.0,7.9,0.0,0.0,97.0,main,intl,"balanced,hp,wl,wg,keto,diab","fish, swordfish, cooked, dry heat",https://live.staticflickr.com/3063/2865423734_ef02a71279_b.jpg
Tempeh,component,150,192.0,20.3,7.6,10.8,0.0,0.0,9.0,main,intl,"balanced,hp,wl,wg,keto,diab",tempeh,https://live.staticflickr.com/47/166937490_3e7cb03ec3_b.jpg
Tilapia,component,150,128.0,26.2,0.0,2.6,0.0,0.0,56.0,main,intl,"balanced,hp,wl,keto,diab","fish, tilapia, cooked, dry heat",https://live.staticflickr.com/7061/6775561028_ea977dee40_b.jpg
Tofu,component,150,76.0,8.1,1.9,4.8,0.3,0.6,7.0,main,intl,"balanced,wl,keto,diab","tofu, raw, regular, prepared with calcium sulfate",https://live.staticflickr.com/2367/2121536293_6f2742c270_b.jpg
Trout,component,150,168.0,23.8,0.0,7.4,0.0,0.0,61.0,main,intl,"balanced,hp,wl,wg,keto,diab","fish, trout, rainbow, farmed, cooked, dry heat",https://live.staticflickr.com/3234/2312446398_275b1339fe_b.jpg
Tuna,component,150,184.0,29.9,0.0,6.3,0.0,0.0,50.0,main,intl,"balanced,hp,wl,wg,keto,diab","fish, tuna, fresh, bluefin, cooked, dry heat",https://live.staticflickr.com/7807/32245781307_9eb048c850_b.jpg
Turkey Breast,component,150,136.0,29.5,0.0,2.0,0.0,0.0,114.0,main,intl,"balanced,hp,wl,keto,diab","turkey, retail parts, breast, meat only, cooked, roasted",https://live.staticflickr.com/2279/2216383605_edb763cd63_b.jpg
Turkey Leg,component,150,208.0,27.9,0.0,9.8,0.0,0.0,77.0,main,intl,"balanced,hp,wl,wg,keto,diab","turkey, all classes, leg, meat and skin, cooked, roasted",https://live.staticflickr.com/3033/2981786671_426485d9a2_b.jpg
Veal Cutlet,component,150,198.0,28.0,0.2,9.5,0.0,0.0,86.0,main,intl,"balanced,hp,wl,wg,keto,diab","veal, loin, chop, separable lean and fat, cooked, grilled",https://live.staticflickr.com/3134/3250148359_bed16b172c_b.jpg
White Beans,component,150,118.0,8.3,21.1,0.4,7.0,0.0,238.0,main,intl,"balanced,wl,diab","beans, great northern, mature seeds, cooked, boiled, with salt",https://upload.wikimedia.org/wikipedia/commons/9/93/Phaseolus_vulgaris_white_beans%2C_witte_boon.jpg
Whole Egg,component,150,143.0,12.6,0.7,9.5,0.0,0.4,142.0,main,intl,"balanced,wl,keto,diab","egg, whole, raw, fresh",https://upload.wikimedia.org/wikipedia/commons/4/4d/Pure_dried_whole_eggs_from_the_United_States_of_America.jpg
Whole Roast Chicken,component,150,223.0,24.0,0.0,13.4,0.0,0.0,73.0,main,intl,"balanced,hp,wl,wg,keto,diab","chicken, roasting, meat and skin, cooked, roasted",https://live.staticflickr.com/3915/15112547626_a3f80c5d66.jpg
2% Milk,component,100,50.0,3.3,4.8,2.0,0.0,5.1,47.0,side,intl,"balanced,wl,keto,diab","milk, reduced fat, fluid, 2% milkfat, with added vitamin a and vitamin d",https://live.staticflickr.com/3638/3284192111_fc4ca0d009_b.jpg
Blue Cheese,component,100,353.0,21.4,2.3,28.7,0.0,0.5,1146.0,side,intl,"balanced,hp,wg,keto,diab","cheese, blue",https://live.staticflickr.com/518/32575059692_2863cce110_b.jpg
Brie,component,100,334.0,20.8,0.4,27.7,0.0,0.4,629.0,side,intl,"balanced,hp,wg,keto,diab","cheese, brie",https://live.staticflickr.com/2101/2031523023_3749aae40e_b.jpg
Buttermilk,component,100,40.0,3.3,4.8,1.1,0.0,5.4,148.0,side,intl,"balanced,wl,keto,diab","milk, buttermilk, fluid, cultured, lowfat",https://live.staticflickr.com/4117/4858824233_2d4729a566.jpg
